一,イチ; イッ; ひと,one,3
数人,すうにん,several people
人形,にんぎょう,a doll
求人広告,きゅうじんこうこく,a help wanted advertisement
紙人形,かみにんぎょう,paper doll
個人,こじん,an individual
老人,ろうじん,an old man
美人,びじん,a beautiful woman
月,ゲツ; ガツ; つき,counter for name of month; moon,4
四月,しがつ,April
月曜日,げつようび,Monday
一月,いちがつ,January
月,つき,moon
お正月,おしょうがつ,New Year
火,カ; ひ,fire,4
火曜日,かようび,Tuesday
火,ひ,fire
火事,かじ,fire
花火,はなび,fireworks
消火する,しょうかする,to extinguish fire
消火器,しょうかき,a fire extinguisher
水,スイ; みず,water,4
水曜日,すいようび,Wednesday
水,みず,water
水泳,すいえい,swimming
水準,すいじゅん,a standard
教育水準,きょういくすいじゅん,level of education
水族館,すいぞくかん,an aquarium
木,モク; き,tree; wood,4
木曜日,もくようび,Thursday
木,き,tree
金,キン; かね,gold,4
金曜日,きにょうび,Friday
お金,おかね,money
料金,りょうきん,charge
金魚,きんぎょ,goldfish
借金,しゃっきん,a debt
資金,しきん,funds; capital
頭金,あたまきん,down payment
現金,げんきん,cash
土,ド; つち,earth; soil,4
土曜日,どようび,Saturday
土,つち,soil
土地,とち,plot of land; lot; soil
曜,ヨウ,weekday,4
日曜日,にちようび,Sunday
月曜日,げつようび,Monday
火曜日,かようび,Tuesday
水曜日,すいようび,Wednesday
木曜日,もくようび,Thursday
金曜日,きにょうび,Friday
土曜日,どようび,Saturday
上,うえ; ジョウ,top; above; on,4
上,うえ,top; above
上手な,じょうずな,good at
屋上,おくじょう,rooftop
〜以上,〜いじょう,... or more
目上の人,めうえのひと,one\'s superiors
上映する,じょうえいする,to show (a movie)
上品な,じょうひんな,elegant
以上,いじょう,more than
下,した; カ,under; beneath; below; bottom,4
下,した,under
地下鉄,ちかてつ,subway
下手な,へたな,poor at
地下,ちか,underground
低下する,ていかする,to fall; to go down
落下する,らっかする,to fall; to drop
下品,げひん,vulgar
以下,いか,less than
中,なか; チュウ; ジュウ,inside; within,4
中,なか,inside
中国,ちゅうごく,China
中学,ちゅうがく,junior high school
一年中,いちねんじゅう,all year round
田中さん,たなかさん,Mr./Ms. Tanaka
中学校,ちゅうがこう,junior high school
午前中,ごぜんちゅう,in the morning
中古,ちゅうこ,secondhand
夜中,よなか,midnight
中近東,ちゅうきんとう,the Middle and Near East
使用中,しようちゅう,"Occupied"
世の中,よのなか,the society
真ん中,まんなか,center
授業中,じゅぎょうちゅう,during class
中米,ちゅうべい,Central America
真夜中,まよなか,midnight
暑中見舞い,しょちゅうみまい,a summer greeting card
半,ハン,half,4
三時半,さんじはん,half past three
半分,はんぶん,half
半島,はんとう,a peninsula
山,やま; サン,mountain,5
山本さん,やまもとさん,Mr./Ms. Yamamoto
山,やま,mountain
富士山,ふじさん,Mt. Fuji
山田さん,やまださん,Mr./Ms. Yamada
北山町,きたやままち,Kitayama town
岩山,いわやま,a rocky mountain
野山,のやま,hills and fields
森山,まりやま,(a Japanese surname)
川,かわ; がわ,river,5
川,かわ,river
小川さん,おがわさん,Mr./Ms. Ogawa
川口市,かわぐちし,Kawaguchi city
石川,いしかわ,(a Japanese surname)
天の川,あまのがわ,the Milky Way
元,ゲン,origin,5
元気な,げんきな,fine
気,キ,spirit; mind; energy,5
元気な,げんきな,fine
天気,てんき,weather
電気,でんき,electricity
気分が悪い,きぶんがわるい,to feel sick
空気,くうき,air
天気図,てんきず,weather map
天気予報,てんきよほう,a weather forecast
病気が悪くなった,びょうきがわるくなった,condition (illness) became worse
私,わたし; シ,I,5
私,わたし,イ
私立大学,しりつだいがく,private university
私立高校,しりつこうこう,private high school
私鉄,してつ,a private railroad
私立,しりつ,private
今,いま; コン,now; present,5
今,いま,now
今日,きょう,today
今晩,こんばん,tonight
今年,ことし,this year
今夜,こんや,tonight
今朝,けさ,this morning
今度,こんど,near future
今晩,こんばん,tonight
田,た; だ,rice field,5
田中さん,たなかさん,Mr./Ms. Tanaka
山田さん,やまださん,Mr./Ms. Yamada
田んぼ,たんぼ,rice field
森田,もりた,(a Japanese surname)
田畑,たはた,fields of rice and crops
竹田,たけだ,(a Japanese surname)
女,おんな; ジョ,woman; girl; female,5
女の人,おんなのひと,woman
女性,じょせい,woman
女の子,おんなのこ,girl
次女,じじょ,one's second daughter
彼女,かのじょ,she; girlfriend
男女,だんじょ,man and woman; men and women
女性用,じょせいよう,for ladies
男,おとこ; ダン,man; male,5
男の人,おとこのひと,man
男性,だんせい,man
男の子,おとこのこ,boy
長男,ちょうなん,one's first son
男女,だんじょ,man and woman; men and women
見,み; ケン,to see,5
見る,みる,to see
見物,けんぶつ,sightseeing
花見,はなみ,flower viewing
見送る,みおくる,to see someone off
暑中見舞い,しょちゅうみまい,a summer greeting card
意見,いけん,an opinion
行,い; コウ; キョウ,to go,5
行く,いく,to go
一行目,いちぎょうめ,first line
旅行,りょこう,travel
急行,きゅうこう,express train
行政,ぎょうせい,administration
旅行社,りょこうしゃ,travel agency
新婚旅行,しんこんりょこう,a honeymoon
流行,りゅうこう,fashion
旅行する,りょこうする,to travel
連れて行く,つれていく,to take (someone)
旅行者,りょこうしゃ,tourist
発行,はっこう,publication
銀行,ぎんこう,bank
食,た; ショク,to eat,5
食べる,たべる,to eat
食べ物,たべもの,food
食事,しょくじ,meal
朝食,ちょうしょく,breakfast
昼食,ちゅうしょく,lunch
食堂,しょくどう,dining room
定食,ていしょく,a fixed menu; today's special
洋食,ようしょく,Western food
和食,わしょく,Japanese food
食器,しょっき,tableware
食料品,しょくりょうひん,food
飲,の; イン,to drink,5
飲む,のむ,to drink
飲み物,のみもの,drink
飲酒運転,いんしゅうんてん,drunken driving
天,テン,heaven,5
東,ひがし；トウ,east,6
東,ひがし,east
東口,ひがしぐち,east exit
東京,とうきょう,Tokyo
南東,なんとう,southeast
東北,とうほく,Tohoku region
中近東,ちゅうきんとう,the Middle and Near East
東京駅,とうきょうえき,Tokyo Station
東大寺,とうだいじ,Todaiji Temple
東京都,とうきょうと,Tokyo (metropolis)
東洋,とうよう,the East; the Orient
関東地方,かんとうちほう,the Kanto District
東海道線,とうかいどうせん,the Tokaido line
西,にし；セイ；サイ,west,6
西,にし,west
西口,にしぐち,west exit
北西,ほくせい,northwest
関西,かんさい,Kansai region
大西洋,たいせいよう,the Atlantic
西洋,せいよう,the West
南,みなみ；ナン,south,6
南,みなみ,south
南口,みなみぐち,south exit
南東,なんとう,southeast
北,きた；ホク；ホッ,north,6
北西,ほくせい,northwest
北,きた,north
北口,きたぐち,north exit
東北,とうほく,Tohoku region
北海道,ほっかいどう,Hokkaido
北山町,きたやままち,Kitayama town
北米,ほくべい,North America
北風,きたかぜ,a north wind
口,ぐち；くち；コウ,mouth,6
東口,ひがしぐち,east exit
西口,にしぐち,west exit
南口,みなみぐち,south exit
北口,きたぐち,north exit
口,くち,mouth
人口,じんこう,population
出口,でぐち,exit
入口,いりぐち,entrance
川口市,かわぐちし,Kawaguchi city
悪口,わるくち,speaking ill of
窓口,まどぐち,a window; a counter
出,で；だ；シュッ；シュツ,to exit,6
出る,でる,to exit
出口,でぐち,exit
出す,だす,to take something out
出席,しゅっせき,attendance
輸出,ゆしゅつ,export
思い出す,おもいだす,to recall
思い出,おもいで,a memory
貸し出し,かしだし,loaning out
出席する,しゅっせきする,to attend
出発する,しゅっぱつする,to depart
引き出し,ひきだし,a drawer
右,みぎ；ウ；ユウ,right,6
右,みぎ,right
右折,うせつ,right turn
左右,さゆう,right and left
左,ひだり；サ,left,6
左右,さゆう,right and left
左,ひだり,left
左折,させつ,left turn
左利き,ひだりきき,left-handed
分,フン；プン；ブン,minute; to divide,6
一分,いっぷん,one minute
六分,ろっぷん,six minutes
半分,はんぶん,half
五分,ごふん,five minutes
十分,じゅっぷん,ten minutes
自分,じぶん,oneself
気分が悪い,きぶんがわるい,to feel sick
分野,ぶんや,realm; field
春分の日,しゅんぶんのひ,the vernal equinox day
秋分の日,しゅうぶんのひ,the autumnal equinox day
分割,ぶんかつ,division
分類する,ぶんるいする,to classify
先,セン；さき,previous; ahead,6
先生,せんせい,teacher
先週,せんしゅう,last week
先に,さきに,ahead
先週,せんしゅう,last week
連絡先,れんらくさき,contact address
先進国,せんしんこく,advanced nations
生,セイ；う；ショウ,birth,6
一年生,いちねんせい,first-year student
二年生,にねんせい,second-year student
三年生,さんねんせい,third-year student
先生,せんせい,teacher
学生,がくせい,student
生まれる,うまれる,to be born
一生に一度,いっしょうにいちど,once in a life time
大学生,だいがくせい,college student
小学生,しょうがくせい,elementary school student
高校生,こうこうせい,high school student
生活,せいかつ,(daily) life
留学生,りゅうがくせい,foreign students
四年生,よねんせい,fourth-year student
生物学,せいぶつがく,biology
生産する,せいさんする,to produce
卒業生,そつぎょうせい,a graduate
大,ダイ；おお；タイ,big,6
私立大学,しりつだいがく,private university
大学生,だいがくせい,college student
大きい,おおきい,big
大変な,たいへんな,tough
大人,おとな,adult
大学,だいがく,university
国立大学,こくりつだいがく,national university
大学院,だいがくいん,graduate school
大使,たいし,ambassador
大阪着,おおさかちゃく,arriving at Osaka
大西洋,たいせいよう,the Atlantic
大切,たいせつ,precious; important
短大,たんだい,a junior college
大雨,おおあめ,heavy rain
東大寺,とうだいじ,Todaiji Temple
大阪府,おおさかふ,Osaka Prefecture
大使館,たいしかん,embassy
大学卒,だいがくそつ,a college graduate
大変,たいへん,very; much
学,ガク；ガッ；まな,learning,6
中学,ちゅうがく,junior high school
私立大学,しりつだいがく,private university
心理学,しんりがく,psychology
学生,がくせい,student
大学生,だいがくせい,college student
大学,だいがく,university
学校,がっこう,school
学ぶ,まなぶ,to study
小学校,しょうがっこう,elementary school
小学生,しょうがくせい,elementary school student
中学校,ちゅうがこう,junior high school
文学,ぶんがく,literature
言語学,げんごがく,linguistics
国立大学,こくりつだいがく,national university
大学院,だいがくいん,graduate school
留学生,りゅうがくせい,foreign students
秋学期,あきがっき,fall semester
工学,こうがく,engineering
生物学,せいぶつがく,biology
経済学,けいざいがく,economics
学歴,がくれき,one's educational background
史学,しがく,study of history
数学,すうがく,mathematics
公立学校,こうりつがっこう,public school
科学者,かがくしゃ,a scientist
学者,がくしゃ,a scholar
学期,がっき,a school term
考古学,こうこがく,archaeology
学位,がくい,a degree
民族学,みんぞくがく,ethnology
退学する,たいがくする,to leave school
大学卒,だいがくそつ,a college graduate
外,ガイ；そと,outside,6
外国,がいこく,foreign country
外国人,がいこくじん,foreigner
外,そと,outside
海外,かいがい,overseas
外交,がいこう,diplomacy
国,コク；ゴク；くに,country,6
中国,ちゅうごく,China
天国,てんごく,heaven
外国,がいこく,foreign country
外国人,がいこくじん,foreigner
国,くに,country
帰国,きこく,going home
国立大学,こくりつだいがく,national university
国歌,こっか,national anthem
国連,こくれん,United Nations
英国,えいこく,England
米国,べいこく,U.S.A.
島国,しまぐに,an island nation
国立,こくりつ,national
国会議員,こっかいぎいん,member of National Diet
農業国,のうぎょうこく,agricultural country
工業国,こうぎょうこく,industrialized nation
国民,こくみん,a people; a nation
先進国,せんしんこく,advanced nations
共和国,きょうわこく,a republic
京,キョウ,capital,7
東京,とうきょう,Tokyo
京子,きょうこ,Kyoko
京都,きょうと,Kyoto
東京駅,とうきょうえき,Tokyo Station
東京都,とうきょうと,Tokyo (metropolis)
京都府,きょうとふ,Kyoto Prefecture
京都,きょうと,Kyoto
子,こ；シ,child,7
子供の時,こどものとき,in one's childhood
京子,きょうこ,Kyoko
子供,こども,child
女の子,おんなのこ,girl
男の子,おとこのこ,boy
電子メール,でんしメール,e-mail
子供,こども,child
竹の子,たけのこ,a bamboo shoot
利子,りし,(bank) interest
原子,げんし,an atom
調子,ちょうし,condition; tone
小,ちい；ショウ,small,7
小川さん,おがわさん,Mr./Ms. Ogawa
小さい,ちいさい,small
小学校,しょうがっこう,elementary school
小学生,しょうがくせい,elementary school student
小野さん,おのさん,Mr. / Mrs. Ono
小説,しょうせつ,novel
小林,こばやし,(a Japanese surname)
小雨,こさめ,light rain; drizzle
会,あ；カイ,to meet,7
会う,あう,to meet
会社,かいしゃ,company
会社員,かいしゃいん,office worker
会話,かいわ,conversation
教会,きょうかい,church
英会話,えいかいわ,English conversation
社会,しゃかい,society
閉会する,へいかいする,to close a meeting
都会,とかい,an urban area
送別会,そうべつかい,a farewell party
会議,かいぎ,a conference
議会,ぎかい,Parliament
会員,かいいん,a member of an association
国会議員,こっかいぎいん,member of National Diet
会議室,かいぎしつ,a conference room
会談する,かいだんする,to hold a conference
機会,きかい,an opportunity; a chance
忘年会,ぼうねんかい,a year-end party
社,シャ；ジャ,company,7
会社,かいしゃ,company
会社員,かいしゃいん,office worker
神社,じんじゃ,shrine
社会,しゃかい,society
旅行社,りょこうしゃ,travel agency
商社,しょうしゃ,a trading company
退社する,たいしゃする,to leave the office
父,ちち；とう；フ,father,7
父,ちち,father
お父さん,おとうさん,father
父母,ふぼ,father and mother
父親,ちちおや,father
母,はは；かあ；ボ,mother,7
母の日,ははのひ,Mother's Day
父母,ふぼ,father and mother
母,はは,mother
お母さん,おかあさん,mother
母語,ぼご,mother tongue
高,たか；コウ,high,7
高い,たかい,expensive; high
高校,こうこう,high school
高校生,こうこうせい,high school student
私立高校,しりつこうこう,private high school
最高,さいこう,the best
残高,ざんだか,balance; remainder
高速道路,こうそくどうろ,highway; freeway
高価な,こうかな,expensive
高原,こうげん,highlands
校,コウ,school,7
学校,がっこう,school
小学校,しょうがっこう,elementary school
高校,こうこう,high school
高校生,こうこうせい,high school student
中学校,ちゅうがこう,junior high school
私立高校,しりつこうこう,private high school
公立学校,こうりつがっこう,public school
毎,マイ,every,7
毎日,まいにち,every day
毎週,まいしゅう,every week
毎晩,まいばん,every night
毎週,まいしゅう,every week
語,ゴ,word,7
日本語,にほんご,Japanese language
母語,ぼご,mother tongue
言語学,げんごがく,linguistics
英語,えいご,English language
類義語,るいぎご,a synonym
文,ブン,sentence,7
文学,ぶんがく,literature
作文,さくぶん,composition
文字,もじ,letter; character
文字,もじ,character
注文する,ちゅうもんする,to order
文化,ぶんか,culture
文,ぶん,a sentence
文部省,もんぶしょう,the Ministry of Education
文具,ぶんぐ,stationery
論文,ろんぶん,a thesis; a paper
帰,かえ；キ,to return,7
帰る,かえる,to return
帰国,きこく,going home
連れて帰る,つれてかえる,to take home
帰宅する,きたくする,to go home
入,はい；いり；い；ニュウ,to enter,7
入る,はいる,to enter
入口,いりぐち,entrance
入れる,いれる,to put something in
輸入,ゆにゅう,import
記入する,きにゅうする,to fill in
押入れ,おしいれ,a closet
員,イン,member,8
会社員,かいしゃいん,office worker
店員,てんいん,store attendant
駅員,えきいん,station attendant
全員,ぜんいん,all members
定員,ていいん,an admission limit
会員,かいいん,a member of an association
国会議員,こっかいぎいん,member of National Diet
新,あたら；シン,new,8
新しい,あたらしい,new
新幹線,しんかんせん,Bullet Train
新聞,しんぶん,newspaper
新雪,しんせつ,new snow
新婚旅行,しんこんりょこう,a honeymoon
聞,き；ブン,to listen,8
新聞,しんぶん,newspaper
聞く,きく,to listen
作,つく；サク,to make,8
作文,さくぶん,composition
作る,つくる,to make
作品,さくひん,artistic piece
作品,さくひん,piece of work
荷作りする,にづくりする,to pack
仕,シ,to serve,8
仕事,しごと,job
力仕事,ちからしごと,physical labor such as construction
仕える,つかえる,to serve
仕方,しかた,how to; a method
事,ごと；こと；ジ,thing,8
仕事,しごと,job
事,こと,thing
食事,しょくじ,meal
火事,かじ,fire
力仕事,ちからしごと,physical labor such as construction
工事,こうじ,construction
事務所,じむしょ,office
返事,へんじ,an answer
事故,じこ,an accident
記事,きじ,an article
用事,ようじ,business; an engagement; a thing to take care of
交通事故,こうつうじこ,traffic accident
県知事,けんちじ,prefectural governor
事実,じじつ,a fact
電,デン,electricity,8
電気,でんき,electricity
電子メール,でんしメール,e-mail
電車,でんしゃ,train
電話,でんわ,telephone
特急電車,とっきゅうでんしゃ,super express train
留守番電話,るすばんでんわ,answering machine
電話番号,でんわばんごう,a telephone number
終電,しゅうでん,the last train
電話局,でんわきょく,a telephone office
車,くるま；シャ,car,8
電車,でんしゃ,train
車,くるま,car
自転車,じてんしゃ,bicycle
自動車,じどうしゃ,automobile
特急電車,とっきゅうでんしゃ,super express train
馬車,ばしゃ,a carriage
寝台車,しんだいしゃ,sleeping car
発車,はっしゃ,departure of a vehicle
車両,しゃりょう,vehicles; cars
歯車,はぐるま,a gear
休,やす；キュウ,to rest,8
休む,やすむ,to be absent; to rest
休み,やすみ,holiday; absence
休日,きゅうじつ,holiday
連休,れんきゅう,consecutive holidays
夏休み,なつやすみ,summer vacation
冬休み,ふゆやすみ,winter vacation
言,い；ゲン,to say,8
言う,いう,to say
言語学,げんごがく,linguistics
読,よ；ドク,to read,8
読む,よむ,to read
読書,どくしょ,reading books
通読,つうどく,reading through; reading over
音読,おんよみ,'ON' reading
思,おも；シ,to think,8
思う,おもう,to think
不思議な,ふしぎな,mysterious
思い出す,おもいだす,to recall
思い出,おもいで,a memory
思考力,しこうりょく,thinking power; ability to think
次,つぎ；ジ,next,8
次,つぎ,next
次女,じじょ,one's second daughter
目次,もくじ,table of contents
次ぐ,つぐ,to be next
次回,じかい,next time
何,なに；なん,what,8
何,なに,what
何時,なんじ,what time
何人,なんにん,how many people
午,ゴ,noon,9
午前,ごぜん,A.M.
午後,ごご,P.M.;  in the afternoon
午前中,ごぜんちゅう,in the morning
後,ゴ；あと；うし,after,9
午後,ごご,P.M.;  in the afternoon
後で,あとで,later
後ろ,うしろ,back; behind
最後に,さいごに,lastly
最後に,さいごに,lastly
後期,こうき,last term
以後,いご,after than
直後,ちょくご,immediately after
前,まえ；ゼン,before,9
午前,ごぜん,A.M.
午前中,ごぜんちゅう,in the morning
前,まえ,before; front
名前,なまえ,name
寒冷前線,かんれいぜんせん,a cold front
前払い,まえばらい,payment in advance
前期,ぜんき,first term
以前,いぜん,previously
名,な；メイ,name,9
名前,なまえ,name
有名な,ゆうめいな,famous
名刺,めいし,name card
有名な,ゆうめいな,famous
名案,めいあん,a good idea
白,しろ；ハク,white,9
白鳥,はくちょう,swan
真白,まっしろ,real white
白,しろ,white color
白い,しろい,white
白紙,はくし,blank paper
面白い,おもしろい,interesting
雨,あめ；ウ,rain,9
雨,あめ,rain
雨期,うき,rainy season
大雨,おおあめ,heavy rain
小雨,こさめ,light rain; drizzle
書,か；ショ,to write,9
書く,かく,to write
辞書,じしょ,dictionary
書道,しょどう,calligraphy
図書館,としょかん,library
履歴書,りれきしょ,personal history; curriculum vitae; resume
借用書,しゃくようしょ,an IOU
投書する,とうしょする,to send a letter to the editor
願書,がんしょ,an application
辞書,じしょ,a dictionary
書店,しょてん,bookshop
報告書,ほうこくしょ,a report
書類,しょるい,paper; documents
友,とも；ユウ,friend,9
友達,ともだち,friend
親友,しんゆう,best friend
友人,ゆうじん,friend
親友,しんゆう,best friend
間,カン；あいだ,between,9
二日間,ふつかかん,two days
時間,じかん,time
二時間,にじかん,two hours
間,あいだ,between
人間,にんげん,human being
一週間,いっしゅうかん,one week
間違える,まちがえる,to make a mistake
短時間,たんじかん,a short time
間違い,まちがい,a mistake
間接,かんせつ,indirect(ly)
期間,きかん,a period
家,いえ；カ,house,9
家,いえ,house
家,うち,house; home
画家,がか,painter
家族,かぞく,family
家内,かない,my wife
政治家,せいじか,a politician
農家,のうか,a farm house
家具,かぐ,furniture
芸術家,げいじゅつか,an artist
話,はな；はなし；ワ,to speak,9
電話,でんわ,telephone
話す,はなす,to speak
話,はなし,talk; story
会話,かいわ,conversation
手話,しゅわ,sign language
昔話,むかしばなし,old tale
世話,せわ,care
留守番電話,るすばんでんわ,answering machine
英会話,えいかいわ,English conversation
電話番号,でんわばんごう,a telephone number
話し合う,はなしあう,to consult
受話器,じゅわき,a telephone receiver
談話室,だんわしつ,a lounge
電話局,でんわきょく,a telephone office
少,すこ；すく；ショウ,little,9
少し,すこし,little
少ない,すくない,few
少々,しょうしょう,a little
減少,げんしょう,to decrease; to reduce
古,ふる；コ,old,9
古い,ふるい,old (for things)
中古,ちゅうこ,secondhand
考古学,こうこがく,archaeology
知,し；チ,to know,9
知る,しる,to know
知人,ちじん,acquaintance
知らせる,しらせる,to let know; to inform
知識,ちしき,knowledge
通知する,つうちする,to inform
県知事,けんちじ,prefectural governor
お知らせ,おしらせ,a notice
知覚,ちかく,perception
来,く；き；こ；ライ,to come,9
来る,くる,to come
来ない,こない,not to come
来週,らいしゅう,next week
来ます,きます,to come
来年,らいねん,next year
住,す；ジュウ,to live,10
住む,すむ,to live
住所,じゅうしょ,address
住宅,じゅうたく,housing
住宅難,じゅうたくなん,housing shortage
正,ショウ；ただ,right,10
お正月,おしょうがつ,New Year
正しい,ただしい,right
正座する,せいざする,to sit up straight; to sit in the formal Japanese style
正式,せいしき,formal; official
正答,せいとう,a correct answer
正直な,しょうじきな,honest
年,ネン；とし,year,10
一年生,いちねんせい,first-year student
二年生,にねんせい,second-year student
三年生,さんねんせい,third-year student
一年中,いちねんじゅう,all year round
来年,らいねん,next year
今年,ことし,this year
青年,せいねん,youth
去年,きょねん,last year
四年生,よねんせい,fourth-year student
忘年会,ぼうねんかい,a year-end party
売,う；バイ,to sell,10
売る,うる,to sell
売店,ばいてん,stand; stall
売り場,うりば,sales counter
商売,しょうばい,trade
発売,はつばい,a sale
買,か,to buy,10
買う,かう,to buy
買い物,かいもの,shopping
町,まち；チョウ,town,10
町,まち,town
北山町,きたやままち,Kitayama town
町長,ちょうちょう,mayor of a town
長,なが；チョウ,long,10
町長,ちょうちょう,mayor of a town
長い,ながい,long
長男,ちょうなん,one's first son
市長,しちょう,mayor
長野,ながの,Nagano
議長,ぎちょう,a chairman
道,みち；ドウ,way,10
道,みち,way; road
書道,しょどう,calligraphy
北海道,ほっかいどう,Hokkaido
柔道,じゅうどう,judo
神道,しんとう,Shinto religion
赤道,せきどう,the equator
鉄道,てつどう,a railroad
道路,どうろ,a road; a street
高速道路,こうそくどうろ,highway; freeway
東海道線,とうかいどうせん,the Tokaido line
道具,どうぐ,a tool; an instrument
報道,ほうどう,news
歩道橋,ほどうきょう,a pedestrian bridge
雪,ゆき；セツ,snow,10
雪,ゆき,snow
新雪,しんせつ,new snow
立,た；リツ,to stand,10
